model_name,accuracy,precision,recall,f1_score,roc_auc,log_loss,brier_score,train_time_seconds,inference_time_ms_per_100,complexity,composite_score
Random Forest,0.8166666666666667,0.7692307692307693,0.7207207207207207,0.7441860465116279,0.8873635540302207,0.3973276207917513,0.12954371529625314,1.5122618000023067,175.03809998743236,Medium,0.926298
Logistic Regression,0.7933333333333333,0.7247706422018348,0.7117117117117117,0.7181818181818181,0.8770198770198769,0.41257833838349245,0.13607860303299263,0.3298284998163581,50.36269989795983,Low,0.862348
KNN,0.78,0.6771653543307087,0.7747747747747747,0.7226890756302521,0.857071357071357,0.5591142675703793,0.15283111056765505,0.2987429001368582,1640.1217998936772,Medium,0.818765
SVM,0.7866666666666666,0.7326732673267327,0.6666666666666666,0.6981132075471698,0.8591448591448592,0.4527371361011349,0.1462015279210888,0.8466036999598145,56.0378001537174,High,0.799104
1D-CNN,0.7733333333333333,0.6776859504132231,0.7387387387387387,0.7068965517241379,0.8549025215691882,0.4583054431932277,0.15279650688171387,4.4513439000584185,310.5166000314057,High,0.788495
MLP,0.7933333333333333,0.7816091954022989,0.6126126126126126,0.6868686868686869,0.8695362028695364,0.45982617103308904,0.1482886069390198,4.840098399901763,49.7554000467062,High,0.772961
Decision Tree,0.77,0.6842105263157895,0.7027027027027027,0.6933333333333334,0.8190809857476524,1.186086370877665,0.17983095246002498,0.31832740013487637,50.03979988396168,Low,0.736252
Naive Bayes,0.5166666666666667,0.42735042735042733,0.9009009009009009,0.5797101449275363,0.6007436007436007,6.443092978986476,0.48148218107954527,0.32782320003025234,60.935200192034245,Low,0.149661
